item,rep,anchor_n_per_group,estimator,tau,lambda,estimate,variance,ci_low,ci_high,interval_width,benchmark,error,squared_error,covered,wrong_sign
Christians,1,25,human_only,,,1.8399999999999892,42.7376,-10.973304185884306,14.653304185884284,25.62660837176859,-3.7164124786966397,5.556412478696629,30.873719633415615,1,1
Christians,1,25,llm_only,,,-0.15535017913954619,0.043381404010973144,-0.5635829578927404,0.252882599613648,0.8164655575063884,-3.7164124786966397,3.5610622995570935,12.681164701326855,0,0
Christians,1,25,naive_pooling,,,-0.1426853500018126,0.04559630182252767,-0.5612098452006269,0.27583914519700165,0.8370489903976285,-3.7164124786966397,3.573727128694827,12.771525590369373,0,0
Christians,1,25,ppi_disjoint,,,-2.8607072299723564,43.04543005601687,-15.720074403484215,9.998659943539504,25.71873434702372,-3.7164124786966397,0.8557052487242833,0.7322314726942876,1,0
Christians,1,25,ppi_plus,,0.4560736457618659,-0.3038686840326631,42.008770704993736,-13.007446665857467,12.39970929779214,25.407155963649608,-3.7164124786966397,3.4125437946639767,11.645455150499613,1,0
Christians,1,25,bayes_shrinkage_disjoint,2.0,0.08510350185466031,-0.41954455406697644,3.703424893968699,-4.191424333788244,3.352335225654291,7.543759559442535,-3.7164124786966397,3.2968679246296633,10.869338112451903,1,0
Christians,1,25,bayes_shrinkage_disjoint,5.0,0.36763845632894443,-1.1734153874338353,15.852877493163733,-8.977287130212403,6.630456355344732,15.607743485557135,-3.7164124786966397,2.542997091262804,6.466834206171082,1,0
Christians,1,25,bayes_shrinkage_disjoint,10.0,0.69929291829955,-2.0583488148776756,30.11454707143234,-12.814186487026436,8.697488857271086,21.511675344297522,-3.7164124786966397,1.658063663818964,2.749175113276767,1,0
Christians,1,25,bayes_shrinkage_disjoint,20.0,0.9029312941234565,-2.60170470644689,38.87132125200476,-14.821691110764265,9.618281697870485,24.43997280863475,-3.7164124786966397,1.1147077722497496,1.2425734175139995,1,0
Christians,2,25,human_only,,,3.839999999999989,38.6528,-8.345589705878014,16.02558970587799,24.371179411756007,-3.7164124786966397,7.556412478696629,57.099369548202134,1,1
Christians,2,25,llm_only,,,-0.15535017913954619,0.043381404010973144,-0.5635829578927404,0.252882599613648,0.8164655575063884,-3.7164124786966397,3.5610622995570935,12.681164701326855,0,0
Christians,2,25,naive_pooling,,,-0.12816545669218726,0.045712643239807296,-0.5472235556117091,0.2908926422273345,0.8381161978390436,-3.7164124786966397,3.5882470220044524,12.87551669092382,0,0
Christians,2,25,ppi_disjoint,,,2.6657260233990723,35.17028788726526,-8.957964352196718,14.289416398994863,23.24738075119158,-3.7164124786966397,6.382138502095712,40.731691859932496,1,1
Christians,2,25,ppi_plus,,0.7695519870814764,2.936335127928677,34.82723108298862,-8.630526630059489,14.503196885916843,23.13372351597633,-3.7164124786966397,6.652747606625317,44.259050717458884,1,1
Christians,2,25,bayes_shrinkage_disjoint,2.0,0.10223219316378866,0.125334364349456,3.634740813548099,-3.61140489726974,3.862073625968652,7.473478523238392,-3.7164124786966397,3.8417468430460957,14.759018806054643,0,1
Christians,2,25,bayes_shrinkage_disjoint,5.0,0.4157892245797304,1.012599045907302,14.648938971709992,-6.489091693767395,8.514289785582,15.003381479349393,-3.7164124786966397,4.7290115246039415,22.363549999836895,1,1
Christians,2,25,bayes_shrinkage_disjoint,10.0,0.7400466411229212,1.9301423461891556,26.039005473911125,-8.071429701672969,11.93171439405128,20.00314409572425,-3.7164124786966397,5.646554824885795,31.883581390441055,1,1
Christians,2,25,bayes_shrinkage_disjoint,20.0,0.9192726511694165,2.437293814018437,32.33460911843667,-8.707957838115142,13.582545466152016,22.29050330426716,-3.7164124786966397,6.153706292715077,37.86810113700113,1,1
Christians,3,25,human_only,,,-3.1999999999999886,51.28013333333333,-17.235589058295098,10.835589058295119,28.071178116590215,-3.7164124786966397,0.5164124786966511,0.2666818481536191,1,0
Christians,3,25,llm_only,,,-0.15535017913954619,0.043381404010973144,-0.5635829578927404,0.252882599613648,0.8164655575063884,-3.7164124786966397,3.5610622995570935,12.681164701326855,0,0
Christians,3,25,naive_pooling,,,-0.17916382670033215,0.04570179618722864,-0.5981722039827649,0.23984455058210064,0.8380167545648656,-3.7164124786966397,3.5372486519963076,12.512128026049695,0,0
Christians,3,25,ppi_disjoint,,,-3.009859417313032,40.3644257410917,-15.462328165596558,9.442609330970493,24.90493749656705,-3.7164124786966397,0.7065530613836075,0.49921722855054784,1,0
Christians,3,25,ppi_plus,,1.0,-3.0098594173130238,40.3644257410917,-15.46232816559655,9.442609330970502,24.90493749656705,-3.7164124786966397,0.706553061383616,0.4992172285505598,1,0
Christians,3,25,bayes_shrinkage_disjoint,2.0,0.09025112713085204,-0.4113157415340437,3.6826451141655188,-4.1725986969334725,3.349967213865385,7.522565910798857,-3.7164124786966397,3.305096737162596,10.923664442002838,1,0
Christians,3,25,bayes_shrinkage_disjoint,5.0,0.38272662214980585,-1.246722490107335,15.475484068943782,-8.95714528002323,6.46370029980856,15.420845579831791,-3.7164124786966397,2.4696899885893044,6.0993686397382385,1,0
Christians,3,25,bayes_shrinkage_disjoint,10.0,0.712652842766633,-2.1891008976273096,28.778365346025634,-12.703613169401596,8.325411374146977,21.029024543548573,-3.7164124786966397,1.52731158106933,2.3326806656684966,1,0
Christians,3,25,bayes_shrinkage_disjoint,20.0,0.9084286313404379,-2.7483013016516384,36.672197086513776,-14.617585708369312,9.120983105066035,23.738568813435347,-3.7164124786966397,0.9681111770450013,0.9372392511194578,1,0
Christians,4,25,human_only,,,11.679999999999993,42.67106666666666,-1.123326509414138,24.483326509414123,25.60665301882826,-3.7164124786966397,15.396412478696632,237.04951721416538,0,1
Christians,4,25,llm_only,,,-0.15535017913954619,0.043381404010973144,-0.5635829578927404,0.252882599613648,0.8164655575063884,-3.7164124786966397,3.5610622995570935,12.681164701326855,0,0
Christians,4,25,naive_pooling,,,-0.06309456374521005,0.045384482403608095,-0.48064579126310497,0.35445666377268487,0.8351024550357898,-3.7164124786966397,3.6533179149514297,13.346731787705062,0,0
Christians,4,25,ppi_disjoint,,,6.920867199968997,38.846678508499856,-5.295245117714279,19.13697951765227,24.432224635366552,-3.7164124786966397,10.637279678665637,113.15171896215291,1,1
Christians,4,25,ppi_plus,,0.8850704347212592,7.467832263780329,38.78108583664606,-4.737962235147609,19.673626762708267,24.411588997855876,-3.7164124786966397,11.184244742476968,125.08733045962371,1,1
Christians,4,25,bayes_shrinkage_disjoint,2.0,0.0934515511211382,0.4718610240544243,3.669944455178105,-3.2829303974511976,4.226652445560046,7.509582843011244,-3.7164124786966397,4.1882735027510645,17.54163493384667,0,1
Christians,4,25,bayes_shrinkage_disjoint,5.0,0.3918315482203317,2.5944772465429384,15.247961954154365,-5.059055966495299,10.248010459581176,15.307066426076474,-3.7164124786966397,6.310889725239578,39.82732912413448,1,1
Christians,4,25,bayes_shrinkage_disjoint,10.0,0.720445898006594,4.932174667884995,27.999160859003247,-5.439015059236329,15.30336439500632,20.74237945424265,-3.7164124786966397,8.648587146581635,74.79805963201707,1,1
Christians,4,25,bayes_shrinkage_disjoint,20.0,0.911570945893496,6.291800417307354,35.41537230226426,-5.372319533909642,17.95592036852435,23.328239902433992,-3.7164124786966397,10.008212896003993,100.16432537174063,1,1
Christians,5,25,human_only,,,1.960000000000008,41.6276,-10.685813068363766,14.605813068363782,25.291626136727547,-3.7164124786966397,5.676412478696648,32.22165862830302,1,1
Christians,5,25,llm_only,,,-0.15535017913954619,0.043381404010973144,-0.5635829578927404,0.252882599613648,0.8164655575063884,-3.7164124786966397,3.5610622995570935,12.681164701326855,0,0
Christians,5,25,naive_pooling,,,-0.14037947696179742,0.04523790916372423,-0.5572558997100299,0.27649694578643497,0.8337528454964648,-3.7164124786966397,3.5760330017348423,12.788012029496706,0,0
